rank,stadium,capacity,city,country,region,tenants,sports,image,location
104,Murrayfield Stadium,67144,Edinburgh,United Kingdom,Europe,Scotland national rugby union team,Rugby union,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[55.94227, -3.2411]"
105,Morumbi Stadium,67052,São Paulo,Brazil,South America,São Paulo FC,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-16.7993028, -49.1385556]"
106,The Dome at America's Center,66965,St. Louis,United States,North America,St. Louis BattleHawks,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[38.63283, -90.18844]"
107,Yadegar-e Emam Stadium,66833,Tabriz,Iran,Western Asia,Tractor Sazi,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[34.03138, 48.17811]"
108,Seoul World Cup Stadium,66806,Seoul,South Korea,East Asia,"South Korea national football team, FC Seoul",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[37.566, 126.9784]"
109,Mineirão,66658,Belo Horizonte,Brazil,South America,Cruzeiro Esporte Clube,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-20.0232723, -44.0302068]"
110,U.S. Bank Stadium,66655,Minneapolis,United States,North America,Minnesota Vikings,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[44.9730124, -93.2564884]"
111,Daegu Stadium,66422,Daegu,South Korea,East Asia,Daegu FC,"Athletics, association football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[35.87028, 128.59111]"
112,Lane Stadium,66233,"Blacksburg, Virginia",United States,North America,Virginia Tech Hokies football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[37.2199895, -80.4186668]"
113,Raymond James Stadium,65847,"Tampa, Florida",United States,North America,"Tampa Bay Buccaneers, South Florida Bulls football, Tampa Bay Vipers",American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[27.9778197, -82.503401]"
114,Paycor Stadium,65515,Cincinnati,United States,North America,Cincinnati Bengals,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[39.0945965, -84.5172694]"
115,Camping World Stadium,65438,"Orlando, Florida",United States,North America,Multiple college football bowl games,"American football, association football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[28.5375354, -81.4027244]"
116,Ibn Batouta Stadium,65000,Tangier,Morocco,Africa,"IR Tanger, Morocco national football team",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[35.76713, -5.82713]"
117,Allegiant Stadium,65000,Las Vegas,United States,North America,"Las Vegas Raiders, UNLV Rebels football, hosts Las Vegas Bowl",American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[36.090887, -115.1832285]"
118,Mogadishu Stadium,65000,Mogadishu,Somalia,Africa,"Somalia national football team, Elman FC and other local teams",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[2.06754, 45.33546]"
119,Basra International Stadium,65000,Basra,Iraq,Western Asia,Iraq national football team,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[33.324921, 44.435516]"
120,Kamuzu Stadium,65000,Blantyre,Malawi,Africa,Malawi national football team,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-15.7988228, 35.0364039]"
121,Alamodome,65000,San Antonio,United States,North America,UTSA Roadrunners football San Antonio Brahmas,"American football, baseball",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[29.4158224, -98.4788855]"
122,Ford Field,65000,Detroit,United States,North America,Detroit Lions,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[42.3387522, -83.046304]"
123,Hammadi Agrebi Stadium,65000,Radès,Tunisia,Africa,Tunisia national football team,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[33.49689, 11.08279]"
124,Tripoli Stadium,65000,Tripoli,Libya,Africa,"Libya national football team, Al-Ahly, Al-Ittihad, Al Madina",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[32.8922194, 13.1730786]"
125,King Abdullah Sports City,65000,Jeddah,Saudi Arabia,Western Asia,Saudi Arabia national football team,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[21.7640806, 39.1655596]"
126,Estádio da Luz,64642,Lisbon,Portugal,Europe,Benfica,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[38.752592, -9.184668]"
127,Gillette Stadium,64628,"Foxborough, Massachusetts",United States,North America,"New England Patriots, New England Revolution, UMass Minutemen football","American football, association football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[42.0909483, -71.2643566]"
128,Stade du 5 Juillet,64200,Algiers,Algeria,Africa,MC Alger,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[36.7295987, 3.2270256]"
129,Vaught–Hemingway Stadium,64038,"Oxford, Mississippi",United States,North America,Ole Miss Rebels football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[34.3619874, -89.5342173]"
130,Saitama Stadium 2002,63700,Saitama,Japan,East Asia,Urawa Red Diamonds,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[35.903056445, 139.717673165]"
131,Dalian Barracuda Bay Football Stadium,63671,"Dalian, Liaoning",China,East Asia,"Dalian Professional F.C., China national football team",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[38.91222, 121.60222]"
132,LaVell Edwards Stadium,63470,"Provo, Utah",United States,North America,Brigham Young University Cougars football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[40.2575528, -111.6544841]"
133,State Farm Stadium,63400,"Glendale, Arizona",United States,North America,Arizona Cardinals,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[42.441349, -96.364908]"
134,California Memorial Stadium,63186,"Berkeley, California",United States,North America,California Golden Bears football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[37.8706866, -122.2507095]"
135,Estadio Olímpico Universitario,63186,Mexico City,Mexico,North America,"Club Universidad Nacional, Pumas CU","Association football, American football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[28.713347, -106.14474]"
136,Olympiastadion,63118,Munich,Germany,Europe,,Athletics,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[48.143438999, 11.573599]"
137,Oakland–Alameda County Coliseum,63026,"Oakland, California",United States,North America,Oakland Athletics,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[37.7573604, -122.1936777]"
138,Kenan Memorial Stadium,62980,"Chapel Hill, North Carolina",United States,North America,North Carolina Tar Heels football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[35.9058166, -79.048254]"
139,Tottenham Hotspur Stadium,62850,London,United Kingdom,Europe,Tottenham Hotspur F.C.,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[51.603279, -0.06585]"
140,Ellis Park Stadium,62567,Johannesburg,South Africa,Africa,"Golden Lions, Lions, Orlando Pirates F.C.","Rugby union, association football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-26.19773, 28.06203]"
141,Ross–Ade Stadium,62500,"West Lafayette, Indiana",United States,North America,Purdue Boilermakers football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[40.4344711, -86.9184503]"
142,Lucas Oil Stadium,62421,Indianapolis,United States,North America,"Indianapolis Colts, Indy Eleven, occasional NCAA men's basketball events","American football, association football, basketball",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[39.7610486, -86.1632109]"
143,Veltins-Arena,62271,Gelsenkirchen,Germany,Europe,FC Schalke 04,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[51.5556081, 7.0678375]"
144,Commanders Field,62000,"Landover, Maryland",United States,North America,Washington Commanders,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[44.9159455, -93.2688364]"
145,Shanxi Sports Centre Stadium,62000,"Taiyuan, Shanxi",China,East Asia,,"Association football, athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-2.4010748, 29.0074481]"
146,Faurot Field,61620,"Columbia, Missouri",United States,North America,Missouri Tigers football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[38.9358394, -92.3332134]"
147,Jack Trice Stadium,61500,"Ames, Iowa",United States,North America,Iowa State Cyclones football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[42.0140063, -93.6357713]"
148,Scott Stadium,61500,"Charlottesville, Virginia",United States,North America,Virginia Cavaliers football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[38.0311416, -78.5137305]"
149,Soldier Field,61500,Chicago,United States,North America,Chicago Bears,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[41.8639164, -87.6167044]"
150,Yale Bowl,61446,"New Haven, Connecticut",United States,North America,Yale Bulldogs football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[41.3133357, -72.9605309]"
151,Anfield,61276,Liverpool,United Kingdom,Europe,Liverpool,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[53.432262037, -2.953929186]"
152,Optus Stadium,61266,Perth,Australia,Oceania,"Fremantle Dockers, West Coast Eagles, Australia Wallabies, Perth Scorchers, Australia national cricket team, Western Australia cricket team","Australian rules football, Rugby union, cricket",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-31.952293, 115.88921]"
153,Dalian Sports Center Stadium,61000,"Dalian, Liaoning",China,East Asia,,"Association football, athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[38.91222, 121.60222]"
154,Cardinal Stadium,61000,"Louisville, Kentucky",United States,North America,Louisville Cardinals football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[38.2071047, -85.7585767]"
155,Kroger Field,61000,"Lexington, Kentucky",United States,North America,Kentucky Wildcats football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[38.0226217, -84.5052052]"
156,Benito Villamarín,60721,Seville,Spain,Europe,Real Betis,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[37.35649, -5.98195]"
157,Emirates Stadium,60704,London,United Kingdom,Europe,Arsenal,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[51.5546136, -0.1096299]"
158,Memorial Stadium,60670,"Champaign, Illinois",United States,North America,Illinois Fighting Illini football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[40.116328, -88.243522]"
159,MHPArena,60649,Stuttgart,Germany,Europe,VfB Stuttgart,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[48.8908985, 9.1825822]"
160,Xiamen Egret Stadium,60592,Xiamen,China,East Asia,,"Athletics, Association football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[24.47979, 118.08187]"
161,Grêmio Arena,60540,Porto Alegre,Brazil,South America,Grêmio FBPA,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-29.974008, -51.195051]"
162,Mississippi Veterans Memorial Stadium,60492,"Jackson, Mississippi",United States,North America,Jackson State Tigers,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[32.3296104, -90.1797602]"
163,Jones AT&T Stadium,60454,"Lubbock, Texas",United States,North America,Texas Tech Red Raiders football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[33.5910283, -101.8729377]"
164,Celtic Park,60411,Glasgow,United Kingdom,Europe,Celtic F.C.,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[55.84515, -4.195349]"
165,Estadio Monumental Virgen de Chapi,60370,Arequipa,Peru,South America,"FBC Melgar, Club IDUNSA",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-16.4099258, -71.5324767]"
166,Shenzhen Universiade Sports Centre,60334,Shenzhen,China,East Asia,,Athletics,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[22.54554, 114.0683]"
167,Davis Wade Stadium,60311,"Starkville, Mississippi",United States,North America,Mississippi State Bulldogs football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[33.4554622, -88.7935982]"
168,Jawaharlal Nehru Stadium,60254,Delhi,India,South Asia,"India national football team, Punjab FC","Association football, athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[28.5800958, 77.2308692]"
169,Centenario Stadium,60235,Montevideo,Uruguay,South America,"Uruguay national football team, Club Nacional de Football, Club Atlético Peñarol",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-34.89463, -56.15286]"
170,Boone Pickens Stadium,60218,"Stillwater, Oklahoma",United States,North America,Oklahoma State Cowboys football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[36.1256884, -97.0664446]"
171,Stade Municipal de Kintélé,60055,Brazzaville,Congo,Africa,Congo national football team,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-4.1551374, 15.3402429]"
172,Estádio do Arruda,60044,Recife,Brazil,South America,Santa Cruz Futebol Clube,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-8.0267, -34.89121]"
173,Alassane Ouattara Stadium,60012,Abidjan,Ivory Coast,Africa,Ivory Coast national football team,"Association football, rugby, athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[5.3761908, -3.9661317]"
174,Morodok Techo National Stadium,60000,Phnom Penh,Cambodia,South East Asia,Cambodia national football team,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[11.6830611, 104.8761889]"
175,Olembe Stadium,60000,Yaoundé,Cameroon,Africa,Cameroon national football team,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[4.3044883, 11.9143173]"
176,Bahir Dar Stadium,60000,Bahir Dar,Ethiopia,Africa,"Ethiopia national football team, Bahir Dar Kenema F.C.",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[11.5887912, 37.3881163]"
177,Tigray Stadium,60000,Mekelle,Ethiopia,Africa,"Mekelle City, Shire Endaselassie F.C., Dedebit F.C.",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[14.8941778667, 37.9150178667]"
178,Jaber Al-Ahmad International Stadium,60000,Kuwait City,Kuwait,Western Asia,Kuwait national football team,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[29.271331, 47.918081]"
179,Milan Puskar Stadium,60000,"Morgantown, West Virginia",United States,North America,West Virginia Mountaineers football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[39.6492528, -79.9521027]"
180,National Heroes Stadium,60000,Lusaka,Zambia,Africa,Zambia national football team,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-15.3695011, 28.273703]"
181,Moshood Abiola National Stadium,60000,Abuja,Nigeria,Africa,Nigeria national football team,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[6.4973386, 3.3640767]"
182,Benjamin Mkapa Stadium,60000,Dar es Salaam,Tanzania,Africa,"Tanzania national football team, Simba SC, Young Africans",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-6.8535479, 39.2729548]"
183,Shenyang Olympic Sports Center Stadium,60000,"Shenyang, Liaoning",China,East Asia,,"Association football, athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[41.79222, 123.43278]"
184,Stade Léopold Sédar Senghor,60000,Dakar,Senegal,Africa,"Senegal national football team, ASC Jeanne d'Arc",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[14.7467041, -17.4536133]"
185,Nanjing Olympic Sports Center,60000,"Nanjing, Jiangsu",China,East Asia,,"Association football, athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[32.06167, 118.77778]"
186,National Sports Stadium,60000,Harare,Zimbabwe,Africa,Zimbabwe national football team,"Association football, athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-17.8204856, 30.9940489]"
187,Odi Stadium,60000,Mabopane,South Africa,Africa,Garankuwa United,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-25.5216094, 28.0390539]"
188,Tianhe Stadium,60000,"Guangzhou, Guangdong",China,East Asia,,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[31.28761, 108.19341]"
189,Ordos Sports Centre Stadium,60000,Ordos,China,East Asia,,Athletics,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[39.6086, 109.78157]"
190,Hefei Olympic Sports Center Stadium,60000,"Hefei, Anhui",China,East Asia,local football teams,"Association football, athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[31.86389, 117.28083]"
191,Guangxi Sports Center Stadium,60000,"Nanning, Guangxi",China,East Asia,local football teams,"Association football, athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[26.8497, 109.352]"
192,Haixia Olympic Center Stadium,59562,Fuzhou,China,East Asia,,Athletics,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[36.567348398, 103.930027033]"
193,Simmons Bank Liberty Stadium,59308,"Memphis, Tennessee",United States,North America,Memphis Tigers football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[35.121225, -89.97719]"
194,Estadio Monumental Isidro Romero Carbo,59283,Guayaquil,Ecuador,South America,Barcelona Sporting Club,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-2.1859365, -79.9247903]"
195,Parc Olympique Lyonnais,59186,Décines-Charpieu,France,Europe,Olympique Lyonnais,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[45.7583481, 4.8337559]"
196,Chongqing Olympic Sports Center,58680,Chongqing,China,East Asia,,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[29.56026, 106.55771]"
197,PGE Stadion Narodowy,58580,Warsaw,Poland,Europe,Poland national football team,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[52.2387416, 21.0437046]"
198,King Fahd International Stadium,58398,Riyadh,Saudi Arabia,Western Asia,"Al Nasr, Al-Hilal",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[24.787721, 46.838751]"
199,Stadio San Nicola,58248,Bari,Italy,Europe,A.S. Bari,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[41.084706, 16.840074]"
200,Waldstadion,58000,Frankfurt,Germany,Europe,Eintracht Frankfurt,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[50.5860341, 8.7046649]"
201,Castelão,57876,Fortaleza,Brazil,South America,"Ceará, Fortaleza",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-3.7939853, -38.5166779]"
202,Arizona Stadium,57803,"Tucson, Arizona",United States,North America,Arizona Wildcats football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[32.2291664, -110.9488852]"
203,Estadio de La Cartuja,57619,Seville,Spain,Europe,Spain national football team,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[37.4181699, -6.0058233]"
204,Carter–Finley Stadium,57583,"Raleigh, North Carolina",United States,North America,NC State Wolfpack football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[35.8018703, -78.7203653]"
205,Cape Town Stadium,57367,Cape Town,South Africa,Africa,"Cape Town City F.C. (2016), Western Province (rugby union), Stormers","Association football, rugby union",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-33.9044666, 18.4115666]"
206,La Bombonera,57200,Buenos Aires,Argentina,South America,Boca Juniors,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-27.65208, -67.02688]"
207,Volksparkstadion,57030,Hamburg,Germany,Europe,Hamburger SV,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[53.5871748, 9.8986017]"
208,Estadio Mario Alberto Kempes,57000,Córdoba,Argentina,South America,,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-31.3684219, -64.2474754]"
209,Jinan Olympic Sports Center Stadium,56808,"Jinan, Shandong",China,East Asia,Shandong Taishan,"Association football, athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[36.66833, 116.99722]"
210,Estadio Jalisco,56713,Guadalajara,Mexico,North America,"Club Atlas, Leones Negros UdeG",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[20.7046723, -103.3273921]"
211,Commonwealth Stadium,56302,Edmonton,Canada,North America,Edmonton Elks,"Canadian football, association football, rugby union, athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[53.557651, -113.476226]"
212,Olympic Stadium,56040,Montreal,Canada,North America,"Montreal Alouettes,","Canadian football, baseball, association football",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[45.55785, -73.55164]"
213,Dodger Stadium,56000,Los Angeles,United States,North America,Los Angeles Dodgers,Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[42.5175026, -94.1706108]"
214,19 May 1956 Stadium,56000,Annaba,Algeria,Africa,USM Annaba,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[28.144113769, 2.679965933]"
215,Johan Cruyff Arena,55445,Amsterdam,Netherlands,Europe,Ajax,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[52.314226, 4.94184]"
216,Estadio Rodrigo Paz Delgado,55400,Quito,Ecuador,South America,Liga Deportiva Universitaria,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[0.5083959, -77.8658764]"
217,Silesian Stadium,55211,Chorzów,Poland,Europe,"Poland national football team, Ruch Chorzów","Association football, speedway, athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[50.2885462, 18.9755375]"
218,City of Manchester Stadium,55097,Manchester,United Kingdom,Europe,Manchester City F.C.,Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[53.4836, -2.20026]"
219,Arena Națională,55000,Bucharest,Romania,Europe,"Romania national football team, FCSB",Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[44.436953, 26.1511989]"
220,Singapore National Stadium,55000,Singapore,Singapore,Southeast Asia,Singapore national football team,"Association football, rugby, cricket, athletics",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[1.3046981726, 103.8735625632]"
221,Bobby Dodd Stadium,55000,Atlanta,United States,North America,Georgia Tech Yellow Jackets football,American football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[33.7735649, -84.3926983]"
222,Estadio Latinoamericano,55000,Havana,Cuba,South America,"Industriales, Metropolitanos",Baseball,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[23.117821, -82.376324]"
223,Helong Sports Center Stadium,55000,"Changsha, Hunan",China,East Asia,Hunan Billows F.C. (Hunan Xiangtao),Association football,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[42.53974, 128.99722]"
